1d-interleaved-parityfec,application/1d-interleaved-parityfec
prs.fallenstein.rst,text/prs.fallenstein.rst
prs.lines.tag,text/prs.lines.tag
prs.prop.logic,text/prs.prop.logic
raptorfec,text/raptorfec
RED,text/RED
rfc822-headers,text/rfc822-headers
richtext,
rtf,text/rtf
rtp-enc-aescm128,text/rtp-enc-aescm128
rtploopback,text/rtploopback
rtx,text/rtx
SGML,text/SGML
shaclc,text/shaclc
shex,text/shex
spdx,text/spdx
strings,text/strings
t140,text/t140
tab-separated-values,text/tab-separated-values
troff,text/troff
turtle,text/turtle
ulpfec,text/ulpfec
uri-list,text/uri-list
vcard,text/vcard
vtt,text/vtt
xml,text/xml
xml-external-parsed-entity,text/xml-external-parsed-entity
1d-interleaved-parityfec,video/1d-interleaved-parityfec
3gpp,video/3gpp
3gpp2,video/3gpp2
3gpp-tt,video/3gpp-tt
AV1,video/AV1
BMPEG,video/BMPEG
BT656,video/BT656
CelB,video/CelB
DV,video/DV
encaprtp,video/encaprtp
example,video/example
FFV1,video/FFV1
flexfec,video/flexfec
H261,video/H261
H263,video/H263
H263-1998,video/H263-1998
H263-2000,video/H263-2000
H264,video/H264
H264-RCDO,video/H264-RCDO
H264-SVC,video/H264-SVC
H265,video/H265
iso.segment,video/iso.segment
JPEG,video/JPEG
jpeg2000,video/jpeg2000
jxsv,video/jxsv
mj2,video/mj2
MP1S,video/MP1S
MP2P,video/MP2P
MP2T,video/MP2T
mp4,video/mp4
MP4V-ES,video/MP4V-ES
MPV,video/MPV
mpeg,
mpeg4-generic,video/mpeg4-generic
nv,video/nv
ogg,video/ogg
parityfec,video/parityfec
pointer,video/pointer
quicktime,video/quicktime
raptorfec,video/raptorfec
raw,video/raw
rtp-enc-aescm128,video/rtp-enc-aescm128
rtploopback,video/rtploopback
rtx,video/rtx
scip,video/scip
smpte291,video/smpte291
SMPTE292M,video/SMPTE292M
ulpfec,video/ulpfec
vc1,video/vc1
vc2,video/vc2
VP8,video/VP8
VP9,video/VP9
